adm1,adm2,adm3,hf,community,school_name
Bo District,Bo District Council,Baoma Chiefdom,Jan Christian Helvings Clinic,,
Bo District,Bo District Council,Baoma Chiefdom,Jembe CHC,,
Bo District,Bo District Council,Baoma Chiefdom,Jormu (Baoma) MCHP,,
Bo District,Bo District Council,Baoma Chiefdom,Kigbai MCHP,,
Bo District,Bo District Council,Baoma Chiefdom,Kpunbu MCHP,,
Bo District,Bo District Council,Baoma Chiefdom,Mbundorbu MCHP,,
Bo District,Bo District Council,Baoma Chiefdom,Pelewahun (Baoma) MCHP,,
Bo District,Bo District Council,Baoma Chiefdom,Tugbebu CHP,,
Bo District,Bo District Council,Baoma Chiefdom,Yakaji MCHP,,
Bo District,Bo District Council,Baoma Chiefdom,Yamandu CHC,,
Bo District,Bo District Council,Bargbo Chiefdom,Bum Kaku MCHP,,
Bo District,Bo District Council,Bargbo Chiefdom,Gbangbalia MCHP,,
Bo District,Bo District Council,Bargbo Chiefdom,Jimmi CHC,,
Bo District,Bo District Council,Bargbo Chiefdom,Kakama MCHP,,
Bo District,Bo District Council,Bargbo Chiefdom,Kasse MCHP,,
Bo District,Bo District Council,Bargbo Chiefdom,Limba CHP,,
Bo District,Bo District Council,Bargbo Chiefdom,Mano Yorgbo MCHP,,
Bo District,Bo District Council,Bargbo Chiefdom,Momajo CHP,,
Bo District,Bo District Council,Bargbo Chiefdom,Niagorehun (Bargbo) CHP,,
Bo District,Bo District Council,Bargbo Chiefdom,Senehun Ngolan MCHP,,
Bo District,Bo District Council,Bongor Chiefdom,Gbaama MCHP,,
Bo District,Bo District Council,Bongor Chiefdom,Lowoma (Bongor) MCHP,,
Bo District,Bo District Council,Bongor Chiefdom,Mamboma (Bongor) CHC,,
Bo District,Bo District Council,Bongor Chiefdom,Telu CHC,,
Bo District,Bo District Council,Bumpe Ngao Chiefdom,Bongor (Bumpe Ngao) MCHP,,
Bo District,Bo District Council,Bumpe Ngao Chiefdom,Buma MCHP,,
Bo District,Bo District Council,Bumpe Ngao Chiefdom,Bumpe CHC,,
Bo District,Bo District Council,Bumpe Ngao Chiefdom,Kabiyama MCHP,,
Bo District,Bo District Council,Bumpe Ngao Chiefdom,Kaniya MCHP,,
Bo District,Bo District Council,Bumpe Ngao Chiefdom,Kpetema (Bumpe Ngao) CHP,,
Bo District,Bo District Council,Bumpe Ngao Chiefdom,Makayonie MCHP,,
Bo District,Bo District Council,Bumpe Ngao Chiefdom,Mokoba MCHP,,
Bo District,Bo District Council,Bumpe Ngao Chiefdom,Mokpende MCHP,,
Bo District,Bo District Council,Bumpe Ngao Chiefdom,Ngolahun (Bumpe Ngao) CHC,,
Bo District,Bo District Council,Bumpe Ngao Chiefdom,Niagorehun Vaakie MCHP,,
Bo District,Bo District Council,Bumpe Ngao Chiefdom,Sahn (Bumpe Ngao) CHP,,
Bo District,Bo District Council,Bumpe Ngao Chiefdom,Serabu (Bumpe Ngao) CHC,,
Bo District,Bo District Council,Bumpe Ngao Chiefdom,Serabu Mission Hospital,,
Bo District,Bo District Council,Bumpe Ngao Chiefdom,Taninahun (Bumpe Ngao) CHP,,
Bo District,Bo District Council,Bumpe Ngao Chiefdom,Walihun (Bumpe Ngao) MCHP,,
Bo District,Bo District Council,Bumpe Ngao Chiefdom,Yengema (Bumpe Ngao) MCHP,,
Bo District,Bo District Council,Gbo Chiefdom,Gbaiima CHC,,
Bo District,Bo District Council,Gbo Chiefdom,Sembehun Mamagewoh CHC,,
Bo District,Bo District Council,Jaiama Chiefdom,Koribondo CHC,,
Bo District,Bo District Council,Jaiama Chiefdom,Mano-Jaiama CHP,,
Bo District,Bo District Council,Jaiama Chiefdom,Niayahun CHP,,
Bo District,Bo District Council,Kakua Chiefdom,Bandajuma MCHP,,
Bo District,Bo District Council,Kakua Chiefdom,Bo Childrens Hospital,,
Bo District,Bo District Council,Kakua Chiefdom,Egyptian (Bo) Clinic,,
Bo District,Bo District Council,Kakua Chiefdom,Fengehun MCHP,,
Bo District,Bo District Council,Kakua Chiefdom,Fullawahun MCHP,,
Bo District,Bo District Council,Kakua Chiefdom,Gbongboma MCHP,,
Bo District,Bo District Council,Kakua Chiefdom,Gender CHP,,
Bo District,Bo District Council,Kakua Chiefdom,Keindeyella MCHP,,
Bo District,Bo District Council,Kakua Chiefdom,Maguama CHP,,
Bo District,Bo District Council,Kakua Chiefdom,Mamasa Life Saving Hospital,,
Bo District,Bo District Council,Kakua Chiefdom,Manjiama CHC,,
Bo District,Bo District Council,Kakua Chiefdom,Marie Stopes (Kakua) Clinic,,
Bo District,Bo District Council,Kakua Chiefdom,Massah Memorial Maternity MCHP,,
Bo District,Bo District Council,Kakua Chiefdom,Ndegbomie MCHP,,
Bo District,Bo District Council,Kakua Chiefdom,Nduvuibu MCHP,,
Bo District,Bo District Council,Kakua Chiefdom,United Methodist Church Manjama CHC,,
Bo District,Bo District Council,Kakua Chiefdom,Veronical MCHP,,
Bo District,Bo District Council,Komboya Chiefdom,Gumahun MCHP,,
Bo District,Bo District Council,Komboya Chiefdom,Komboya Gbauja MCHP,,
Bo District,Bo District Council,Komboya Chiefdom,Kpamajama MCHP,,
Bo District,Bo District Council,Komboya Chiefdom,Mano (Komboya) MCHP,,
Bo District,Bo District Council,Komboya Chiefdom,Niagorehun (Komboya) MCHP,,
Bo District,Bo District Council,Komboya Chiefdom,Njala (Komboya) CHC,,
Bo District,Bo District Council,Komboya Chiefdom,Teibor CHP,,
Bo District,Bo District Council,Lugbu Chiefdom,Bontiwo MCHP,,
Bo District,Bo District Council,Lugbu Chiefdom,Feiba CHP,,
Bo District,Bo District Council,Lugbu Chiefdom,Hima MCHP,,
Bo District,Bo District Council,Lugbu Chiefdom,Karleh MCHP,,
Bo District,Bo District Council,Lugbu Chiefdom,Kpetewoma CHP,,
Bo District,Bo District Council,Lugbu Chiefdom,Ngieyehun MCHP,,
Bo District,Bo District Council,Lugbu Chiefdom,Sumbuya (Lugbu) CHC,,
Bo District,Bo District Council,Lugbu Chiefdom,Upper Saama MCHP,,
Bo District,Bo District Council,Lugbu Chiefdom,Yambama CHP,,
Bo District,Bo District Council,Niawa Lenga Chiefdom,Korbu MCHP,,
Bo District,Bo District Council,Niawa Lenga Chiefdom,Nengbema CHP,,
Bo District,Bo District Council,Niawa Lenga Chiefdom,Ngogbebu MCHP,,
Bo District,Bo District Council,Niawa Lenga Chiefdom,Pendebu MCHP,,
Bo District,Bo District Council,Niawa Lenga Chiefdom,Sahn (Niawa Lenga) CHC,,
Bo District,Bo District Council,Selenga Chiefdom,Damballa CHC,,
Bo District,Bo District Council,Selenga Chiefdom,Gbangba MCHP,,
Bo District,Bo District Council,Tikonko Chiefdom,Gondama (Tikonko) CHC,,
Bo District,Bo District Council,Tikonko Chiefdom,Griema MCHP,,
Bo District,Bo District Council,Tikonko Chiefdom,Haikal CHP,,
Bo District,Bo District Council,Tikonko Chiefdom,Kassama MCHP,,
Bo District,Bo District Council,Tikonko Chiefdom,Mattru on the Rail MCHP,,
Bo District,Bo District Council,Tikonko Chiefdom,Mendewa 2 Clinic,,
Bo District,Bo District Council,Tikonko Chiefdom,Mendewa CHP,,
Bo District,Bo District Council,Tikonko Chiefdom,Sebehun Tarbay MCHP,,
Bo District,Bo District Council,Tikonko Chiefdom,Sembehun 17 (Tikonko) CHP,,
Bo District,Bo District Council,Tikonko Chiefdom,Theresa Hakim CHP,,
Bo District,Bo District Council,Tikonko Chiefdom,Tikonko (Bo) CHC,,
Bo District,Bo District Council,Tikonko Chiefdom,Towama MCHP,,
Bo District,Bo District Council,Tikonko Chiefdom,Veronica MCHP,,
Bo District,Bo District Council,Tikonko Chiefdom,We Care Health Centre Clinic,,
Bo District,Bo District Council,Tikonko Chiefdom,Zion CHC,,
Bo District,Bo District Council,Valunia Chiefdom,Baomahun CHC,,
Bo District,Bo District Council,Valunia Chiefdom,Foya (Valunia) CHP,,
Bo District,Bo District Council,Valunia Chiefdom,Grima (Valunia) CHP,,
Bo District,Bo District Council,Valunia Chiefdom,Kenema Blango CHC,,
Bo District,Bo District Council,Valunia Chiefdom,Kpewama MCHP,,
Bo District,Bo District Council,Valunia Chiefdom,Kpuabu MCHP,,
Bo District,Bo District Council,Valunia Chiefdom,Mongere CHC,,
Bo District,Bo District Council,Valunia Chiefdom,Ngolahun Jabaty CHP,,
Bo District,Bo District Council,Valunia Chiefdom,Pujehun (Valunia) CHP,,
Bo District,Bo District Council,Wonde Chiefdom,Bathurst MCHP,,
Bo District,Bo District Council,Wonde Chiefdom,Fanima (Wonde) MCHP,,
Bo District,Bo District Council,Wonde Chiefdom,Gboyama CHC,,
Bo District,Bo District Council,Wonde Chiefdom,Kambawama MCHP,,
Bombali District,Bombali District Council,Biriwa Chiefdom,Bumban CHP,,
Bombali District,Bombali District Council,Biriwa Chiefdom,Bumbanday MCHP,,
Bombali District,Bombali District Council,Biriwa Chiefdom,Kagbaneh CHC,,
Bombali District,Bombali District Council,Biriwa Chiefdom,Kagbankona MCHP,,
Bombali District,Bombali District Council,Biriwa Chiefdom,Kakorla MCHP,,
Bombali District,Bombali District Council,Biriwa Chiefdom,Kamabai CHC,,
Bombali District,Bombali District Council,Biriwa Chiefdom,Kamasikie CHP,,
Bombali District,Bombali District Council,Biriwa Chiefdom,Kamathudgu MCHP,,
Bombali District,Bombali District Council,Biriwa Chiefdom,Kanikay MCHP,,
Bombali District,Bombali District Council,Biriwa Chiefdom,Karina CHP,,
Bombali District,Bombali District Council,Biriwa Chiefdom,Kathakeya CHP,,
Bombali District,Bombali District Council,Biriwa Chiefdom,Kayainkassa CHP,,
Bombali District,Bombali District Council,Biriwa Chiefdom,Kayonkoro CHP,,
Bombali District,Bombali District Council,Biriwa Chiefdom,Manjoro MCHP,,
Bombali District,Bombali District Council,Biriwa Chiefdom,Waridala Clinic,,
Bombali District,Bombali District Council,Bombali Sebora Chiefdom,Arab (Makeni) Clinic,,
Bombali District,Bombali District Council,Bombali Sebora Chiefdom,Maboleh CHP,,
Bombali District,Bombali District Council,Bombali Sebora Chiefdom,Maforay (Bombali Sebora) CHP,,
Bombali District,Bombali District Council,Bombali Sebora Chiefdom,Makama CHP,,
Bombali District,Bombali District Council,Bombali Sebora Chiefdom,Makump CHP,,
Bombali District,Bombali District Council,Bombali Sebora Chiefdom,Masory CHP,,
Bombali District,Bombali District Council,Bombali Sebora Chiefdom,Pate-Bana Masimbo CHP,,
Bombali District,Bombali District Council,Bombali Sebora Chiefdom,Patebana CHC,,
Bombali District,Bombali District Council,Bombali Sebora Chiefdom,Rescue International (Bombali Sebora) Clinic,,
Bombali District,Bombali District Council,Bombali Sebora Chiefdom,Robat CHP,,
Bombali District,Bombali District Council,Bombali Serry Chiefdom,Manonkoh Clinic,,
Bombali District,Bombali District Council,Bombali Serry Chiefdom,Rokonta CHC,,
Bombali District,Bombali District Council,Gbanti (Bombali) Chiefdom,Kunsho CHP,,
Bombali District,Bombali District Council,Gbanti (Bombali) Chiefdom,Panlap CHP,,
Bombali District,Bombali District Council,Gbanti (Bombali) Chiefdom,Stocco CHP,,
Bombali District,Bombali District Council,Gbanti (Bombali) Chiefdom,Yoni (Gbanti) CHP,,
Bombali District,Bombali District Council,Gbendembu Chiefdom,Gbendembu CHC,,
Bombali District,Bombali District Council,Gbendembu Chiefdom,Kortohun MCHP,,
Bombali District,Bombali District Council,Gbendembu Chiefdom,Madina Loko CHP,,
Bombali District,Bombali District Council,Gbendembu Chiefdom,Mamaka (Gbendembu) MCHP,,
Bombali District,Bombali District Council,Gbendembu Chiefdom,Mambala MCHP,,
Bombali District,Bombali District Council,Kamaranka Chiefdom,Kamaranka CHC,,
Bombali District,Bombali District Council,Kamaranka Chiefdom,Makaiba MCHP,,
Bombali District,Bombali District Council,Kamaranka Chiefdom,Makassa MCHP,,
Bombali District,Bombali District Council,Kamaranka Chiefdom,Rosint MCHP,,
Bombali District,Bombali District Council,Kamaranka Chiefdom,Royeama CHP,,
Bombali District,Bombali District Council,Magbaimba Ndohahun Chiefdom,Hunduwa MCHP,,
Bombali District,Bombali District Council,Magbaimba Ndohahun Chiefdom,Kagbere CHC,,
Bombali District,Bombali District Council,Magbaimba Ndohahun Chiefdom,Mambiama MCHP,,
Bombali District,Bombali District Council,Magbaimba Ndohahun Chiefdom,Manjaka MCHP,,
Bombali District,Bombali District Council,Makarie Chiefdom,Fullah Town 1 (Makarie) CHP,,
Bombali District,Bombali District Council,Makarie Chiefdom,Karefay Themne CHP,,
Bombali District,Bombali District Council,Makarie Chiefdom,Kerefay Loko MCHP,,
Bombali District,Bombali District Council,Makarie Chiefdom,Kolisokoh CHP,,
Bombali District,Bombali District Council,Makarie Chiefdom,Mabayo MCHP,,
Bombali District,Bombali District Council,Makarie Chiefdom,Magbaikoli MCHP,,
Bombali District,Bombali District Council,Makarie Chiefdom,Magbenteh Hospital,,
Bombali District,Bombali District Council,Makarie Chiefdom,Makarie MCHP,,
Bombali District,Bombali District Council,Makarie Chiefdom,Mangay Loko MCHP,,
Bombali District,Bombali District Council,Makarie Chiefdom,Marie Stopes (Makarie) Clinic,,
Bombali District,Bombali District Council,Makarie Chiefdom,Masongbo (Makarie) CHC,,
Bombali District,Bombali District Council,Makarie Chiefdom,Mateneh MCHP,,
Bombali District,Bombali District Council,Makarie Chiefdom,Punthun MCHP,,
Bombali District,Bombali District Council,Makarie Chiefdom,Thonkoba CHP,,
Bombali District,Bombali District Council,Makarie Chiefdom,Yainkassa CHP,,
Bombali District,Bombali District Council,Mara Chiefdom,Kiampkakolo MCHP,,
Bombali District,Bombali District Council,Mara Chiefdom,Manewa MCHP,,
Bombali District,Bombali District Council,Mara Chiefdom,Mara CHC,,
Bombali District,Bombali District Council,Ngowahun Chiefdom,Kalangba (Ngowahun) CHC,,
Bombali District,Bombali District Council,Ngowahun Chiefdom,Maharie CHP,,
Bombali District,Bombali District Council,Ngowahun Chiefdom,Makiteh (Ngowahun) MCHP,,
Bombali District,Bombali District Council,Ngowahun Chiefdom,Masongbo Loko CHP,,
Bombali District,Bombali District Council,Ngowahun Chiefdom,Tambiama CHP,,
Bombali District,Bombali District Council,Paki Masabong Chiefdom,Kathanta Bana CHP,,
Bombali District,Bombali District Council,Paki Masabong Chiefdom,Kathekeya Kaboli CHP,,
Bombali District,Bombali District Council,Paki Masabong Chiefdom,Makeni Lol MCHP,,
Bombali District,Bombali District Council,Paki Masabong Chiefdom,Makolor CHP,,
Bombali District,Bombali District Council,Paki Masabong Chiefdom,Mapaki CHC,,
Bombali District,Bombali District Council,Paki Masabong Chiefdom,Masabong Pil MCHP,,
Bombali District,Bombali District Council,Paki Masabong Chiefdom,Masingbi Lol MCHP,,
Bombali District,Bombali District Council,Safroko Limba Chiefdom,Binkolo CHC,,
Bombali District,Bombali District Council,Safroko Limba Chiefdom,Kabombeh MCHP,,
Bombali District,Bombali District Council,Safroko Limba Chiefdom,Kabonka MCHP,,
Bombali District,Bombali District Council,Safroko Limba Chiefdom,Kagbo MCHP,,
Bombali District,Bombali District Council,Safroko Limba Chiefdom,Kapethe MCHP,,
Bombali District,Bombali District Council,Safroko Limba Chiefdom,Kateneh MCHP,,
Bombali District,Bombali District Council,Safroko Limba Chiefdom,Kayasie CHP,,
Bombali District,Bombali District Council,Safroko Limba Chiefdom,Mabonkani MCHP,,
Bombali District,Bombali District Council,Safroko Limba Chiefdom,Maselleh MCHP,,
Bombali District,Bombali District Council,Safroko Limba Chiefdom,Masongbo Limba MCHP,,
Bombali District,Makeni City Council,Makeni City,Bombali Police CHC,,
Bombali District,Makeni City Council,Makeni City,Branda Medical Centre Hospital,,
Bombali District,Makeni City Council,Makeni City,Caring Hands Clinic,,
Bombali District,Makeni City Council,Makeni City,City Garden Clinic,,
Bombali District,Makeni City Council,Makeni City,Fullah Town 2 (Makeni City) CHP,,
Bombali District,Makeni City Council,Makeni City,Hamanda Clinic,,
Bombali District,Makeni City Council,Makeni City,Happy Kid and Adolescent (Makeni City) Clinic,,
Bombali District,Makeni City Council,Makeni City,Holy Spirit Hospital,,
Bombali District,Makeni City Council,Makeni City,Holy Spirit Mobile Clinic,,
Bombali District,Makeni City Council,Makeni City,Loreto Clinic,,
Bombali District,Makeni City Council,Makeni City,Makeni Correctional Centre Clinic,,
Bombali District,Makeni City Council,Makeni City,Makeni Government Hospital,,
Bombali District,Makeni City Council,Makeni City,Masuba Clinic,,
Bombali District,Makeni City Council,Makeni City,Modern Clinic,,
Bombali District,Makeni City Council,Makeni City,Mordan Clinic,,
Bombali District,Makeni City Council,Makeni City,New Hope Hospital,,
Bombali District,Makeni City Council,Makeni City,Red Cross (Makeni City) CHP,,
Bombali District,Makeni City Council,Makeni City,Sanda Clinic,,
Bombali District,Makeni City Council,Makeni City,Stocco Leprosy and TB Hospital,,
Bombali District,Makeni City Council,Makeni City,Teko Barracks CHP,,
Bombali District,Makeni City Council,Makeni City,Tonko CHP,,
Bonthe District,Bonthe District Council,Bendu-Cha Chiefdom,Bendu (Bendu-Cha) CHC,,
Bonthe District,Bonthe District Council,Bendu-Cha Chiefdom,Foya (Bendu-Cha) CHP,,
Bonthe District,Bonthe District Council,Bendu-Cha Chiefdom,Giebina CHP,,
Bonthe District,Bonthe District Council,Bendu-Cha Chiefdom,Mindohun MCHP,,
Bonthe District,Bonthe District Council,Bendu-Cha Chiefdom,Mo-Davies CHP,,
Bonthe District,Bonthe District Council,Bendu-Cha Chiefdom,Taigbe CHP,,
Bonthe District,Bonthe District Council,Bum Chiefdom,Karlleh MCHP,,
Bonthe District,Bonthe District Council,Bum Chiefdom,Madina (Bum) CHC,,
Bonthe District,Bonthe District Council,Bum Chiefdom,Mammy CHP,,
Bonthe District,Bonthe District Council,Bum Chiefdom,Ngepehun CHP,,
Bonthe District,Bonthe District Council,Bum Chiefdom,Ngessehun MCHP,,
Bonthe District,Bonthe District Council,Bum Chiefdom,Sogballeh MCHP,,
Bonthe District,Bonthe District Council,Bum Chiefdom,Tassor CHP,,
Bonthe District,Bonthe District Council,Bum Chiefdom,Torma Bum CHP,,
Bonthe District,Bonthe District Council,Dema Chiefdom,Bumpetoke (Dema) CHP,,
Bonthe District,Bonthe District Council,Dema Chiefdom,Mbaoma (Dema) CHP,,
Bonthe District,Bonthe District Council,Dema Chiefdom,Tissana (Dema) CHC,,
Bonthe District,Bonthe District Council,Dema Chiefdom,Tombay CHP,,
Bonthe District,Bonthe District Council,Imperi Chiefdom,Gaindema CHP,,
Bonthe District,Bonthe District Council,Imperi Chiefdom,Gbamgbaia CHC,,
Bonthe District,Bonthe District Council,Imperi Chiefdom,Gbamgbama CHC,,
Bonthe District,Bonthe District Council,Imperi Chiefdom,Jangallor CHP,,
Bonthe District,Bonthe District Council,Imperi Chiefdom,Junctionla MCHP,,
Bonthe District,Bonthe District Council,Imperi Chiefdom,Mo-Kepay CHP,,
Bonthe District,Bonthe District Council,Imperi Chiefdom,Mogbwemo CHC,,
Bonthe District,Bonthe District Council,Imperi Chiefdom,Mokaba MCHP,,
Bonthe District,Bonthe District Council,Imperi Chiefdom,Moriba Town (Imperri) CHC,,
Bonthe District,Bonthe District Council,Imperi Chiefdom,Mount Hope Hospital,,
Bonthe District,Bonthe District Council,Imperi Chiefdom,Sierra Rutile Hospital,,
Bonthe District,Bonthe District Council,Imperi Chiefdom,Victoria MCHP,,
Bonthe District,Bonthe District Council,Imperi Chiefdom,Yargoi CHP,,
Bonthe District,Bonthe District Council,Jong Chiefdom,Barbar MCHP,,
Bonthe District,Bonthe District Council,Jong Chiefdom,Gambia CHC,,
Bonthe District,Bonthe District Council,Jong Chiefdom,Gbaninga CHP,,
Bonthe District,Bonthe District Council,Jong Chiefdom,Henry Kormoi Community Hospital,,
Bonthe District,Bonthe District Council,Jong Chiefdom,Jorma CHP,,
Bonthe District,Bonthe District Council,Jong Chiefdom,Kabati CHP,,
Bonthe District,Bonthe District Council,Jong Chiefdom,Komende (Jong) MCHP,,
Bonthe District,Bonthe District Council,Jong Chiefdom,Mattru CHC,,
Bonthe District,Bonthe District Council,Jong Chiefdom,Mattru UBC Hospital,,
Bonthe District,Bonthe District Council,Jong Chiefdom,Mo-Savie MCHP,,
Bonthe District,Bonthe District Council,Jong Chiefdom,Mogbwe MCHP,,
Bonthe District,Bonthe District Council,Jong Chiefdom,Mongerewa MCHP,,
Bonthe District,Bonthe District Council,Jong Chiefdom,Moyowa MCHP,,
Bonthe District,Bonthe District Council,Jong Chiefdom,Red Cross (Mattru) CHP,,
Bonthe District,Bonthe District Council,Jong Chiefdom,Segbwema (Jong) CHP,,
Bonthe District,Bonthe District Council,Jong Chiefdom,Semabu (Jong) CHP,,
Bonthe District,Bonthe District Council,Jong Chiefdom,Tissana (Jong) CHP,,
Bonthe District,Bonthe District Council,Kpanda Kemoh Chiefdom,Gambia Popayma MCHP,,
Bonthe District,Bonthe District Council,Kpanda Kemoh Chiefdom,Gbongeh MCHP,,
Bonthe District,Bonthe District Council,Kpanda Kemoh Chiefdom,Lawana (Kpanda Kemo) MCHP,,
Bonthe District,Bonthe District Council,Kpanda Kemoh Chiefdom,Mottuo CHC,,
Bonthe District,Bonthe District Council,Kpanda Kemoh Chiefdom,Senjehun MCHP,,
Bonthe District,Bonthe District Council,Kwamebai Krim Chiefdom,Benduma CHC,,
Bonthe District,Bonthe District Council,Kwamebai Krim Chiefdom,Hoya CHP,,
Bonthe District,Bonthe District Council,Kwamebai Krim Chiefdom,Massah Kpoanguma CHP,,
Bonthe District,Bonthe District Council,Kwamebai Krim Chiefdom,Mosenteh CHP,,
Bonthe District,Bonthe District Council,Kwamebai Krim Chiefdom,Tei CHP,,
Bonthe District,Bonthe District Council,Kwamebai Krim Chiefdom,Topain CHP,,
Bonthe District,Bonthe District Council,Nongoba Bullom Chiefdom,Batahall CHP,,
Bonthe District,Bonthe District Council,Nongoba Bullom Chiefdom,Gbamani CHP,,
Bonthe District,Bonthe District Council,Nongoba Bullom Chiefdom,Gbap CHC,,
Bonthe District,Bonthe District Council,Nongoba Bullom Chiefdom,Maamu MCHP,,
Bonthe District,Bonthe District Council,Nongoba Bullom Chiefdom,Mbaoma Kpengeh CHC,,
Bonthe District,Bonthe District Council,Nongoba Bullom Chiefdom,Mbaoma Kpengeh CHP,,
Bonthe District,Bonthe District Council,Nongoba Bullom Chiefdom,Minah CHP,,
Bonthe District,Bonthe District Council,Nongoba Bullom Chiefdom,Ngaringa MCHP,,
Bonthe District,Bonthe District Council,Nongoba Bullom Chiefdom,Sembehun (Nongoba Bullom) MCHP,,
Bonthe District,Bonthe District Council,Nongoba Bullom Chiefdom,Subu MCHP,,
Bonthe District,Bonthe District Council,Nongoba Bullom Chiefdom,Torma Gbagba CHP,,
Bonthe District,Bonthe District Council,Nongoba Bullom Chiefdom,Waiba MCHP,,
Bonthe District,Bonthe District Council,Sittia Chiefdom,Delken CHC,,
Bonthe District,Bonthe District Council,Sittia Chiefdom,Delken MCHP,,
Bonthe District,Bonthe District Council,Sittia Chiefdom,Mania MCHP,,
Bonthe District,Bonthe District Council,Sittia Chiefdom,Mbokie MCHP,,
Bonthe District,Bonthe District Council,Sittia Chiefdom,Mo-Sandi CHP,,
Bonthe District,Bonthe District Council,Sittia Chiefdom,Ngepay CHP,,
Bonthe District,Bonthe District Council,Sittia Chiefdom,Sanhaya CHP,,
Bonthe District,Bonthe District Council,Sittia Chiefdom,Yoni (Sittia) CHC,,
Bonthe District,Bonthe District Council,Sogbini Chiefdom,Grima (Sogbini) CHP,,
Bonthe District,Bonthe District Council,Sogbini Chiefdom,Kanga (Sogbini) MCHP,,
Bonthe District,Bonthe District Council,Sogbini Chiefdom,Kpetema (Sogbini) MCHP,,
Bonthe District,Bonthe District Council,Sogbini Chiefdom,Mandu CHP,,
Bonthe District,Bonthe District Council,Sogbini Chiefdom,Ngueh MCHP,,
Bonthe District,Bonthe District Council,Sogbini Chiefdom,Tihun CHC,,
Bonthe District,Bonthe District Council,Yawbeko Chiefdom,Mobefa MCHP,,
